complex_id	apexes (fully_observed)	apexes (partially_observed)
5176		"15,45"
5182	"15,45"	15
5231		"15,48"
95		"15,48"
1810		
4869		
517		
520-1		
520-3		
520-5		
520-7		
520-9		
520-11		
520-13		
520-15		
520-17		
153		
5872		
5921-1		
5921-2		
5925		
784-1		
809-1		
2529		
2574		
2961		
758		
771		
2222		
244		
248		
2738		
5229		
2320		
2321		
2323		
2770		12
3096		
2266	50	
2536		
2537		
2909		
2910		
2912		
2913		
518-1		
520-2		
520-8		
520-14		
621-1		
879-1		
443		
5273		
126	32	55
1009	46	
1029	46	
1030	46	
1036	46	
107	46	
2660	46	
5495	46	
2005		
2598	"11,32"	
281	"11,32"	
212	38	
213	38	
363	38	
365	38	
5243		
2547		
2551		
2922		
2956		
2960		
3078		
92		
2812		
2720	"25,37"	
5223	"27,37"	
5224	"27,37"	
938		"27,37"
5198		
2084	33	
2086	30	
3045		
5460	36	
5461	36	
5464	36	
5492	36	
575		
2572		
2573		
375	44	
378	44	
2564		
2578		
2581-1		
2581-2		
5862		
1972		
2242		
2243		
999		
2480		
2534		
2535		
2563		
3175		
5709		
5720		
5721		
5724		
518-2		
520-4		
520-10		
520-16		
621-2		
879-2		
330	"45,55"	
335	45	
3008-1		
3008-3		
3008-5		
5564		
2255		
1155		
2213		
2638		
3060-1		
3060-2		
3061		
3062		
3064-1		15
3064-2		15
3064-3		15
3064-4		15
3064-5		15
3064-6		15
3066		15
5363		
5736		
728-1		"28,37"
728-2		"28,37"
1656		
3015	45	
5556		
5560		
906		
387	36	45
4478	"36,44"	
4498		"36,44"
5473		
5799		
5800		
5859		
5860		
5861		
2946		
2947		
3046		
5209		"13,20,32"
559		
1470		
1490		
1491		
5117		
5695		
862		
1288		
5189		
55		
2739		
298-1		
298-2		
298-3		
5217		
3133		
5226		
57		
5371		
5367		
152	47	
5190	"10,20"	
2528		
2895		
1055		
1827		
117-1	"10,20"	
117-2	"10,20"	
117-3	"10,20"	
117-4	"10,20"	
557		
1131		
1132		
1543		
1544		
5876		
5361	"10,23"	
93	"10,23"	
96	"10,23"	
5372		
519		
520-6		
520-12		
520-18		
2156		
2159		
3847		
3138		
3848		
1287	"10,58"	
1297		
1298		
5401		
1146	30	
1147		12
2211	30	
2783		
2791	35	
2792	35	
1452	35	
5423-2		
4096	"10,25,40"	
5274		
1816		
2998		
3004		
3155		
3166		
4095		
5260		
5261		
5262		
5264		
5772	25	
826		
2199		
2200	5	50
2202		"5,50"
266	"5,50"	
270	"5,50"	
277	5	50
278	"5,50"	
279	5	50
2799		"5,50"
2804		"5,50"
2810	"5,50"	
3070		"5,50"
434		"5,50"
435		5
3067		15
5604		
142	15	
5449		
5830		
740	57	
744	57	
754	57	
755	56	
769	57	
772		
785		55
246		
2817		
291		
292		
369		
370	"13,40"	
379		
380		
415		
423		
431	"13,40"	
1519		
1522		
613		
2143		
847		
955	40	
956	40	
959	40	
5573		
60		
1893		
1895	10	
1897		
2969		
2970		
2985		
2990		
2991		
3979		
3980		
3231		
129		
1700		
2241		
1078	"10,20,40"	
2226	"10,20,40"	
2740	"10,20,40"	
374	"10,20,40"	
438		
1554		
680		
2763		
2839		
2843		
2476	58	
2962		
5343		
5444		
5400	"27,38"	
753	10	
3008-2		
3008-4		
3008-6		
846-2		
846-1		
1551		
2726	45	
5318		
419	48	
2170		
2705		
5153		
75		
757		
1321	8	
206		
336		
344	38	
345	38	
350	38	
352	38	
354	38	
359	38	
263	"5,20"	
264	"5,20"	
72	"5,20"	
117-5	"13,20"	
117-6	"13,20"	
117-7	"13,20"	
117-8	"13,20"	
3153	58	
5606		
5607		
3160		
1007	45	
1008	46	
1010	46	
2657		46
1080		
3229		
5228		
5360		
189-4	11	
189-8	11	
5158	15	
5184	15	
149-2		"6,15,23"
149-4		"6,15,23"
2829		
5293	15	
1944		
1945		
2013		
733	"10,20"	
1172	"7,43"	
1174	"7,42"	
775	"10,40"	
1221		
489		
490		
436	20	
1347	"10,22"	
87	10	60
393	57	
394	57	
1028		
