complex_id	apexes (fully_observed)	apexes (partially_observed)
2853	"11,20"	
2885	"11,20"	
2971		
2972		
2989		
3035		
3057		
3058		
3111		
3112	"11,20"	
2577		
1067		
2559		
2565		
2879		
2944		
2955		
756	52	
1250		
1372		
1488		
3269		15
3853		
5099		
5143		
5146		
5656		
5663		
722		
723		
1005		"7,47,57"
243		50
5543	50	
5544	50	
5545	50	
5546	50	
5550	50	
5551	50	
5557		
5559		
5643		
5253-1	26	
5253-2		
362		38
1226		"8,46"
1227		"8,14"
1729		"8,38"
220		
3135		"8,38"
5154		
2343		
2345		
2346		"11,20"
2347		
2350		
2352		
2353		
2354		
3110		
3117		
472	36	
474		
2837		
3159		
2112	37	
4158-1		"12,37"
5199		"36,53"
5212		37
5269		"37,50"
5622		
5716		
5718		
924		"8,15,49"
2220	46	
368	46	
531	46	
432		
5423-1		
3032		
4158-2		"12,37"
5849		
5980		37
2456		
2541		
1261		"8,18"
305-1		"8,15,53"
305-2		"8,15,53"
338		"8,15,53"
1148		"48,64"
2719		"26,37"
1004		"8,47,57"
1193		"8,15,19,45"
2625		
3137-1		56
3137-2		56
3137-3		56
3142		56
5179		"14,44,56"
5235		"14,44,56"
1003		"8,12,33,50"
1098-1		"33,39"
1098-2		"33,39"
1099-1		"33,39"
1099-2		"33,39"
1100	33	
1107		"33,39"
1108		"33,39"
1111-1		"33,39"
1111-2		"33,39"
2728		
1379	53	31
1178		
1308		"8,25,63"
2129		46
6037		
1106		7
1760		"37,55,63"
1633		
1642	60	
3084		
3085		
3086		
312		
5100		
5101		
5107		
5287		
1039		
1092		"15,43"
1160		
1163		
2201		51
2231		
2797		51
285		
286		"12,41"
289		"12,41"
290		
297		39
311		
313		
314		
376		41
377		41
424		
860		
4025		
5177		"12,44,52"
1826		
1834		
521	"10,20"	
522	10	20
5281	"10,20"	
5319		
5320		
2073		
2470		
2471	56	
5282		
5713		
1220		"15,44"
1571		
2766		"6,15,19,44"
2918		"15,44"
3102		"8,15,44"
322		"15,44"
328	"15,44"	
355		"15,44"
356		"15,44"
357		"15,44"
3618	15	
4081	"15,44"	
4082		"15,44"
5176		"15,44"
5182		"15,44"
5231		"15,44,47,56"
95	45	15
1810		10
4869		
517	49	
520-1	6	60
520-3		"6,60"
520-5	6	60
520-7	"6,60"	27
520-9		"6,27,60"
520-11	6	"27,60"
520-13	6	60
520-15		"6,60"
520-17	6	
153	"39,45"	
5872		
5921-1		
5921-2		
5925		
784-1	46	
809-1	46	
2529		"8,43"
2574		
2961		
758	53	
771	48	
2222		"6,39,48,57"
244		"6,39,48,57"
248		"6,39,48,57"
2738		"6,39,48,57"
5229	"6,39,48"	57
2320		"11,20"
2321		
2323		
2770		"11,20"
3096		63
2266	47	
2536		
2537		
2909		
2910		
2912		
2913		
518-1		
520-2	6	60
520-8	6	"27,60"
520-14	6	
621-1		
879-1		
443		
5273		
126	31	53
1009	47	
1029	47	
1030	47	
1036	47	
107	47	
2660	47	
5495	47	
2005		
2598	"11,32"	
281	"11,32"	
212	37	
213	37	
363	37	
365	37	
5243	37	54
2547		
2551		
2922		
2956		
2960		
3078		
92		
2812	"11,37"	28
2720	"26,36"	
5223	"26,36"	
5224	"26,36"	
938		"26,36,41"
5198		
2084		"31,35"
2086		"31,35"
3045		35
5460	35	
5461	35	
5464	35	
5492	35	
575		
2572		
2573		27
375	44	
378	44	
2564		
2578		
2581-1		
2581-2		
5862		
1972		
2242		37
2243		
999		
2480		44
2534		
2535		55
2563		
3175		
5709		
5720		
5721		
5724		
518-2		37
520-4		"6,60"
520-10		"6,27,60"
520-16		6
621-2		
879-2		
330	"43,55,64"	
335		"43,55,64"
3008-1		
3008-3		
3008-5		
5564		
2255		
1155		"11,29,45"
2213		
2638		
3060-1		14
3060-2		14
3061		
3062		
3064-1		"7,15,46"
3064-2		"7,15,46"
3064-3		"7,15,46"
3064-4		"7,15,46"
3064-5		"7,15,46"
3064-6		"7,15,46"
3066		"7,15"
5363		45
5736		
728-1		"33,37,47"
728-2		"33,37,47"
1656		
3015	45	50
5556		
5560		
906		
387	"26,36"	48
4478	"37,44"	
4498		"37,44"
5473		60
5799		60
5800		60
5859		60
5860		60
5861		
2946		
2947		
3046		
5209		"13,19,32,42"
559	"6,28"	48
1470		
1490		
1491		
5117		
5695		
862		
1288		"6,53"
5189		
55		
2739		
298-1		
298-2		
298-3		
5217		
3133		
5226		
57		
5371	60	
5367		
152	47	
5190		12
2528		
2895		
1055		
1827		
117-1	"13,20"	
117-2	"13,20"	
117-3	"13,20"	
117-4	"13,20"	
557	18	9
1131	"7,49"	
1132	"7,49"	
1543		
1544		
5876	47	
5361	"10,21"	
93	"10,21"	
96	"10,21"	
5372		
519		"10,22"
520-6	6	
520-12	6	
520-18	6	
2156		
2159		
3847		
3138		
3848		
1287	"6,13,58"	
1297		
1298		
5401		
1146	31	
1147		"10,31,44,51"
2211	31	
2783		
2791	"7,37"	
2792	"7,37"	
1452	"7,37"	
5423-2		
4096	"11,22"	
5274		
1816		
2998		
3004		
3155		
3166		
4095		
5260		"11,22"
5261		
5262		
5264		
5772	25	
826	39	
2199		"8,12,51"
2200	8	"12,51"
2202		"8,12,51"
266	8	"12,51"
270	8	"12,51"
277	8	"12,51"
278	"8,51"	12
279	8	"12,51"
2799	8	"12,51"
2804		"8,12,36,51"
2810	8	"12,51"
3070		"8,12,36,51"
434		"8,12,22,41,51"
435		"8,12,51"
3067		"7,15,45"
5604		8
142	"12,20"	
5449		
5830		
740	59	
744	59	
754	59	
755		59
769	59	
772		
785		59
246		
2817		12
291	12	
292		
369	"12,40"	23
370	"12,40"	23
379		
380		
415		
423		
431	"12,40"	23
1519		
1522		
613	36	
2143		
847	40	
955	40	
956	40	
959	40	
5573		
60	41	
1893		"11,61"
1895	11	
1897		11
2969		"11,61"
2970		11
2985		
2990		11
2991		
3979		"11,61"
3980		11
3231		
129		
1700		
2241	26	
1078	"12,23,41,64"	
2226	"12,23,41,64"	
2740	"12,23,41,64"	
374	"12,23,41,64"	
438	8	"12,23,41,64"
1554	"12,44"	54
680		
2763		
2839		
2843		
2476	58	
2962		
5343		
5444		
5400	"28,39"	
753	10	
3008-2		
3008-4		
3008-6		
846-2		"21,55"
846-1		"21,55"
1551		
2726	45	
5318		43
419	"40,48"	
2170		
2705		
5153		
75	11	
757		
1321	8	
206	38	
336		38
344	38	
345	38	
350	38	
352	38	
354	38	
359	38	
263	"6,19"	
264	"6,19"	
72	"6,19"	
117-5	"13,20"	
117-6	"13,20"	
117-7	"13,20"	
117-8	"13,20"	
3153	"13,58"	
5606		10
5607		
3160		
1007	47	
1008	47	
1010	47	
2657		"11,19,26,46"
1080		
3229		
5228		
5360		
189-4	15	"7,23"
189-8	15	"7,23"
5158	15	
5184		"8,15"
149-2		"7,15,23"
149-4		"7,15,23"
2829		"7,15"
5293	"7,15"	
1944		
1945		
2013		
733	"12,20"	
1172	"8,42"	
1174	"8,42"	
775	"8,42"	
1221		
489		
490		
436		
1347	9	22
87	9	"21,59"
393	56	
394	56	
1028		"8,22,40,52"
833		"7,15,24,40,53,67"
835		
1218		
2223		
2228		
629		
5856		
2820		
4976		
4977		
4997		
4998		
4999		
5684		
5685		
1		
1620		
5378	6	
2921		"25,47,54"
156		
1750		"6,31"
3296	6	
1245	31	
5558	39	
3036		49
2748		63
2756		63
6025		63
2174-1	"32,38"	47
2174-2	"32,38"	47
726-1	32	"38,47"
726-2	32	"38,47"
727-1	32	"38,47"
727-2	32	"38,47"
29		
553		
816		
2730	8	63
5195	8	62
623	9	55
180		
5526	19	
2145		
1068	15	"6,26,40,52,67"
1743	"6,15,26,40,53,67"	
2757	"6,15,26,40"	"53,67"
784-2	46	
809-2	46	
2256		
1612		
1614		
1615		
1617		
1618		
1619		
2540		
2892		
2893		
2917		
2957		
3186		
5342		
2966		
6023	"43,50"	
1056	10	
5755	47	
1051	46	
1052	46	
1215	46	
1253	46	
1255	50	
1258		
1260	47	
2187	47	
2188		47
2189	47	
2191	47	
2192		"47,50"
226	47	
227	47	
2715	47	"11,37"
2724	47	
2725	47	
2772	47	
2773	47	
2881	47	
390	47	
4072	47	
615	47	
729	47	
80	47	
81		
3634		
5225	"26,37"	
2823		
360		
361		
2653		
1064	43	
162	10	
3522	10	
3525	10	
3529	10	
3530	10	
3545	10	
3552	10	
3556	10	
3087		
3088		
3089		
655		
789		"7,41"
5535		
407		
408		
5222		
518-3		
621-3		
2462		
550		
5714		
1054		
5466	35	
5467	35	
5475		
3154-1		
3154-2		
3154-3		
3120		
3124		
3125		
3127-1		
3127-5		
3127-9		
3149-1	26	"8,19,54"
3149-6	26	"8,19,54"
3150-1		
3150-6		
3164		
3127-3		
3127-7		
3127-11		
3149-3	26	"8,19,54"
3149-8	26	"8,19,54"
3150-3		
3150-8		
5712		
3183		
788		"7,41"
30	"29,42,48"	
2890		
2897		
2907		
2908		
2911		
2930		
2931		
2945		
3113		
3156		"12,54"
1194		21
1462		
5513		
3151		
644		
2000		
3492		
2589		
786		
3129		
934		"7,41"
936	"7,14"	
100	"8,19,26,56"	
1259		
2234		
3048	"7,19,26"	55
3149-2	"7,19,26"	55
3149-4	"7,19,26"	55
3149-5	"7,19,26"	55
3149-7	"7,19,26"	55
3149-9	"7,19,26"	55
3149-10	"7,19,26"	55
5589		
5593		
5596		
889	"9,19,26"	55
919	"8,19,26,55"	
1190		
1158		
1471		
1831		
2641-2		
2642		
4		
5118		
5375		
1144	10	"25,43"
2590		
2761		
1211		
1101	"7,12,26"	
1105	"7,12,26"	
1113	"7,12,26"	
1114	"7,12,26"	
1734	28	15
2774		
2775		26
3079		
3080	12	
2744		
5210		
5529		
5531		
5540		
5541		
471		
475		7
476		7
477		7
5409		
2233		
2235		30
5798		60
5991		60
6072		
6073		
1814	23	
2718		
1139		
1140		
1557		
1561		
2880		
5369		
2819		
2923		
3828		
2204		
5498		
5276		
5277		
1474		
2692		
2704		
2706		
2707		
2708		
2754		
2760		
2762		
2834		
3038		
3197		
3200		
3739		
3740		
3753		
3754		
3959		
1306	65	
1133	10	
1134	8	19
265		
1159		
2814	"12,19,26,54"	
3053	"10,19,26,54"	
3167	10	"19,26,54"
3263	10	"19,26,54"
3961	10	"19,26,54"
5870		
720	10	"19,26,54"
747	10	"19,26,54"
749	"10,19,26,54"	
2162	51	
1058	"18,22"	
219	46	
205	"10,22,35"	57
221	"12,45"	
622	"10,22,35"	57
1224		
1243	35	
222	45	
1162	33	44
1214	"33,44"	
2172	"33,44"	
223	45	
2722	"33,44"	
391	"33,44"	
224	"39,42"	
3184		
3187		
3190		
770		"7,11,49,60"
774		9
5770		
422		
5805	7	
930		"20,26"
926		
928		
933		
5337		
1217		
3182		
3188		
3189		
5762		
299-1		
299-2		
299-3		
5241	"12,23,29"	
1385	8	
678	51	
3544	11	
3551	11	
1062		
5749		
1040		
1345	"21,29"	
2238	12	
2749	12	
5499		
207		"11,22,45,57"
208		"11,22,45,57"
209		"11,22,45,57"
210		"11,22,45,57"
211		"11,22,45,57"
214		"11,22,57"
5267	"11,22,57"	
5270	"11,22,57"	
1168	"11,21,37"	
867	13	7
1318		
1197	11	
1198		
1204		11
1205	11	
1206	11	
1207	11	
138	11	
5377	7	
5381	7	
2626		
2758		
1874	"13,20"	
874	"13,20"	
876	12	
790	34	
3098	6	
3988		
1530		
3099		
660		
3033	"45,61"	
1153		46
1154		46
5370	53	
1167	21	
1195		
2759		
1927		
3941		
186	35	29
3071	15	
5283	41	
5284	41	
1187	50	
707		
12		
5918		
5832		
5836		
2833		
2294	35	
1377	35	
460	35	
461		
918		
429		
3176		
5534		
831-1		
831-2		
3532	"10,19"	
3		
2806		
612		
3297	6	
2734		
2735		
2891		
3128		
3271		
43		
45		
466		
467		
468		
5341		
1233	"12,19,26"	
3054	"11,19,26"	
745	11	"19,26"
2776		
3177		
812		
813		
814		
783		
2455		
2457		
3173		
3174		
2592		
2593		
1087		
1118		
1119		
2579		
2582		
4039		
1166-2	8	"13,22,37,56"
5757	15	
5758		
5759		
5760		
639	15	
641		
1232	"11,19"	
923		
5837		
1794		
1795		
1192	"11,41"	
1863	41	11
1731		
2765		
386		
254	55	
702		
58	11	
1069		
1970		
3711		
944		"13,25"
1179	65	
927	65	
1123		
5451	"12,22"	
1558		
1042		
1296		
1787		
1089		
5756	"42,47"	
724		
2051		
2743		
3168		
895		
896		
2830		
2		
2886		
2943		
6053		
2074		
1293		
763		
773		
1188		
752		
1813		
2123		
4043		
5730		
5827		
1812		
